Year,Month,Day,Hour,Toronto,Ottawa,Bruce,Difference,Holiday & Weekends,Price_Tor,Price_Ott,Price_Bruce,"
",
2016,3,25,24,4741,666,102,105,1,5.9,5.9,5.73,,
2016,3,26,1,4543,637,104,-3,0,12.85,12.85,12.48,,
2016,3,26,2,4448,625,101,-66,0,13.44,13.44,13.05,,
2016,3,26,3,4390,632,101,-26,0,13.47,13.47,13.07,,
2016,3,26,4,4390,635,103,31,0,13.47,13.47,13.08,,
2016,3,26,5,4456,661,109,20,0,13.5,13.5,13.1,,
2016,3,26,6,4637,710,109,-47,0,7.19,7.19,6.98,,
2016,3,26,7,4836,765,113,24,0,-7.65,-7.65,-7.43,,
2016,3,26,8,5094,770,117,27,0,7.89,7.89,7.66,,
2016,3,26,9,5330,737,113,-8,0,6.7,6.7,6.5,,
2016,3,26,10,5452,729,113,-14,0,6.01,6.01,5.84,,
2016,3,26,11,5491,717,113,63,0,5.94,5.94,5.77,,
2016,3,26,12,5417,705,107,-18,0,4.92,4.92,4.78,,
2016,3,26,13,5303,680,108,82,0,4.83,4.83,4.69,,
2016,3,26,14,5200,653,107,72,0,8.38,8.38,8.14,,
2016,3,26,15,5137,669,104,111,0,1.85,1.85,1.8,,
2016,3,26,16,5131,690,102,113,0,2.36,2.36,2.29,,
2016,3,26,17,5193,750,103,151,0,3.46,3.46,3.36,,
2016,3,26,18,5237,781,101,-41,0,8.55,8.55,8.3,,
2016,3,26,19,5363,817,103,-26,0,21.66,21.66,21.03,,
2016,3,26,20,5593,836,103,-88,0,31.39,31.39,30.47,,
2016,3,26,21,5491,817,102,-4,0,8.79,8.79,8.54,,
2016,3,26,22,5267,761,103,116,0,5.55,5.55,5.39,,
2016,3,26,23,4985,679,104,79,0,12.44,12.44,12.08,,
2016,3,26,24,4694,621,100,50,0,-1.89,-1.89,-1.83,,
2016,3,27,1,4491,579,91,76,0,-3,-3,-2.91,,
2016,3,27,2,4361,573,90,-10,0,-3,-3,-2.91,,
2016,3,27,3,4291,563,87,29,0,-2.54,-2.54,-2.47,,
2016,3,27,4,4267,569,84,-4,0,-0.81,-0.81,-0.79,,
2016,3,27,5,4308,572,93,-30,0,0,0,0,,
2016,3,27,6,4426,609,95,102,0,-0.04,-0.04,-0.04,,
2016,3,27,7,4529,633,100,-34,0,-0.5,-0.5,-0.49,,
2016,3,27,8,4693,678,98,-48,0,-0.84,-0.84,-0.81,,
2016,3,27,9,4822,702,100,-90,0,-0.28,-0.28,-0.27,,
2016,3,27,10,4929,659,98,-95,0,-2,-2,-1.94,,
2016,3,27,11,5020,642,96,-2,0,-1.02,-1.02,-0.99,,
2016,3,27,12,5039,634,90,-4,0,2.43,2.43,2.36,,
2016,3,27,13,4974,609,84,-60,0,5.84,5.84,5.67,,
2016,3,27,14,4892,600,84,-100,0,4.33,4.33,4.2,,
2016,3,27,15,4823,604,84,27,0,-0.5,-0.5,-0.49,,
2016,3,27,16,4802,622,84,52,0,0.44,0.44,0.43,,
2016,3,27,17,4871,658,85,67,0,3.86,3.86,3.74,,
2016,3,27,18,4921,681,91,5,0,-0.03,-0.03,-0.03,,
2016,3,27,19,5094,725,97,79,0,-2,-2,-1.94,,
2016,3,27,20,5331,746,95,60,0,0,0,0,,
2016,3,27,21,5242,748,85,60,0,-1.27,-1.27,-1.23,,
2016,3,27,22,5023,699,84,-20,0,-6.75,-6.75,-6.55,,
2016,3,27,23,4717,620,78,38,0,-4.46,-4.46,-4.33,,
2016,3,27,24,4437,620,72,31,0,-0.3,-0.3,-0.29,,
