Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,Toronto,Scored Labels
2014,4,4,7,-0.591386309044805,-0.569882753390565,-0.0430515417758389,0.912098714029133,0.601076631302262,-0.239820063114166
2017,12,14,19,-1.69645810078067,-1.6327194069372,0.141683758163214,-0.277467314398415,1.04669636981586,1.30407691001892
2013,12,20,11,-0.768197795722543,-0.327481411353613,1.61956615767564,0.0469597842636433,1.21702213653661,0.634519040584564
2019,5,23,21,0.681656395034908,0.511600157235835,-0.658835874906015,0.15510215048433,-0.389189454283504,-0.497683197259903
2017,9,10,5,-0.0167489773421568,0.241229429579235,0.75746809129339,-0.818179145501847,-1.94291694256757,-1.20288348197937
2018,4,9,21,-0.715154349719221,-0.821607223967399,-0.474100574966962,-0.0611825819570429,-0.0594308477834441,0.00184708833694458
2015,4,22,19,-0.494139991372049,-0.5512364963108,-0.289365275027909,1.993522376236,0.69515190943291,0.248296678066254
2016,11,30,14,0.195424806671129,0.679416470953724,1.61956615767564,-0.71003677928116,0.472342040176113,0.183336138725281
2018,8,16,21,1.40658349041363,1.8261612813593,1.1269386911715,-0.926321511722533,1.64085602116732,1.16590046882629
2019,3,12,20,-0.741676072720882,-0.942807894985875,-0.720414308219033,-1.14260624416391,0.371334899446365,0.190038800239563
2017,8,16,5,0.690496969368795,1.03369535546927,0.942203391232443,-0.385609680619102,-0.660522361734005,-0.92057591676712
2016,5,24,8,0.929192476383741,0.213260043959586,-1.82882610785335,-1.14260624416391,0.305977337797704,-0.210232466459274
2014,11,15,12,-0.556024011709257,-0.868222866666813,-1.02830647478412,-0.169324948177729,0.107924120680551,0.380366504192352
2016,9,12,1,0.557888354360491,0.558215799935248,-0.166208408401874,-1.14260624416391,-1.51215119533776,-1.5356582403183
2017,12,26,1,-1.83790729012286,-1.89376700605392,-0.227786841714892,1.23652581269119,-1.13981114715752,-0.80139571428299
2014,11,14,11,-0.644429755048126,-0.933484766445992,-0.966728041471104,0.371386882925702,0.690200579004981,0.374884843826294
2018,7,24,7,1.31817774707476,1.70496061034083,1.06536025785848,-0.277467314398415,1.1338397853474,0.743390262126923
2014,9,11,2,1.22093142940201,1.72360686742059,1.4964092910496,-0.385609680619102,-0.982358839549379,-0.597197115421295
2014,7,3,11,1.15020683473091,0.940464070070441,-0.720414308219033,-1.03446387794322,1.45270546490602,0.59453159570694
2013,1,22,22,-2.1473273918089,-2.03361393415216,0.387997491415285,-0.601894413060474,1.04174503938793,0.925207078456879
2018,1,11,14,0.319192847345545,0.418368871837007,0.141683758163214,-0.0611825819570429,0.370344633360779,0.165499269962311
2018,2,6,9,-1.52848718843682,-1.44625683613954,0.264840624789249,0.479529249146388,0.706044836374354,0.589780628681183
2019,2,10,8,-1.56384948577236,-1.50219560737884,0.141683758163214,-0.71003677928116,-0.271347790098798,0.419980406761169
2016,10,29,17,0.734699841038229,0.931140941530558,0.449575924728302,1.993522376236,-0.264415927499698,0.171434462070465
2018,7,19,13,1.55687325408971,0.735355242193021,-1.95198297447939,-0.385609680619102,1.47746211704567,1.20504474639893
2014,4,7,5,-0.750516647054769,-0.607175267550096,0.387997491415285,-1.03446387794322,-0.465439942873608,-0.813034117221832
2015,12,4,14,-0.290806781692651,-0.318158282813731,-0.227786841714892,0.695813981587761,0.599096099131091,0.49424535036087
2014,1,12,3,-0.670951478049787,-0.411389568212558,0.819046524606408,1.77723764379462,-1.15367487235572,-0.908493220806122
2019,6,1,13,0.708178118036568,0.856555913211496,0.264840624789249,0.263244516705016,-0.615960387882645,-0.175725430250168
2015,6,25,19,0.876149030380419,1.0150490983895,0.264840624789249,-1.25074861038459,0.583251841761719,0.235030472278595
2017,7,29,0,0.672815820701021,0.968433455690089,0.819046524606408,0.15510215048433,-1.3774750076981,-1.37386846542358
2018,11,29,5,-0.679792052383674,-0.439358953832206,0.75746809129339,-0.169324948177729,-0.818964935427727,-1.17441034317017
2019,2,4,15,0.310352273011658,0.259875686659,-0.289365275027909,-0.493752046839788,0.32083132908149,-0.0498080849647522
2018,7,2,0,1.59223555142526,1.56511368224259,-0.289365275027909,-0.818179145501847,0.331724256022934,0.317737996578217
2018,2,28,22,-0.582545734710918,-0.318158282813731,0.819046524606408,1.88538001001531,-0.266396459670869,-0.210849463939667
2015,10,25,11,0.328033421679432,-0.0477875551571307,-1.15146334141016,1.23652581269119,-0.636755975679946,-0.0524896383285522
2018,7,28,9,1.0264387940565,1.18286541210739,0.326419058102267,-0.0611825819570429,-0.0237812687023565,0.278309404850006
2015,7,22,8,0.929192476383741,0.69806272803349,-0.781992741532051,1.34466817891188,0.677327119892366,-0.0268200039863586
2016,1,31,23,0.142381360667807,0.474307643076304,1.00378182454546,1.34466817891188,-0.804110944143941,-0.827896535396576
2013,8,28,20,1.43310521341529,1.64902183910153,0.449575924728302,-0.818179145501847,2.21818114906382,1.51990628242493
2014,9,7,15,1.16788798339869,0.539569542855483,-1.6440908079143,-1.46703334282596,-0.0435865904140718,0.699286043643951
2016,5,6,3,0.0893379146644858,0.0174743446220486,-0.350943708340927,1.02024108024982,-1.54383971007651,-1.59587240219116
2019,5,15,18,0.690496969368795,0.483630771616186,-0.720414308219033,1.23652581269119,-0.0643821782113729,-0.211611360311508
