Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,Toronto,Holiday & Weekends,Scored Labels,Diff,Abs Diff
-1.01156852,-0.694012671,-0.988975758,-0.938884327,-0.750516647,-0.607175268,0.387997491,-1.034463878,5322,0,4890.959473,431.0405273,431.0405273
-0.525406859,1.599112689,-1.330190124,0.361115752,-0.290806782,-0.318158283,-0.227786842,0.695813982,6397,0,6149.043457,247.956543,247.956543
-1.01156852,-1.553934681,-0.420285147,-1.227773233,-0.670951478,-0.411389568,0.819046525,1.777237644,4627,0,4865.159668,-238.159668,238.159668
1.419239782,-0.120731331,-1.671404491,0.216671299,0.708178118,0.856555913,0.264840625,0.263244517,5170,0,5557.244141,-387.2441406,387.2441406
-0.525406859,-0.120731331,1.058310441,1.083338018,0.87614903,1.015049098,0.264840625,-1.25074861,6381,0,6105.362305,275.6376953,275.6376953
0.446916461,0.165909339,1.51326293,-1.661106593,0.672815821,0.968433456,0.819046525,0.15510215,4401,0,4488.162109,-87.16210938,87.16210938
0.933078121,1.312472019,1.51326293,-0.938884327,-0.679792052,-0.439358954,0.757468091,-0.169324948,4965,0,4679.475098,285.5249023,285.5249023
1.419239782,-1.267294011,-1.330190124,0.505560205,0.310352273,0.259875687,-0.289365275,-0.493752047,6116,0,5807.912109,308.0878906,308.0878906
0.933078121,0.165909339,-1.557666369,-1.661106593,1.592235551,1.565113682,-0.289365275,-0.818179146,6127,1,5733.911133,393.0888672,393.0888672
0.933078121,-1.267294011,1.399524808,1.516671378,-0.582545735,-0.318158283,0.819046525,1.88538001,5523,0,5531.248047,-8.248046875,8.248046875
-0.525406859,1.025831349,1.058310441,-0.072217608,0.328033422,-0.047787555,-1.151463341,1.236525813,5149,0,5800.22998,-651.2299805,651.2299805
0.933078121,0.165909339,1.399524808,-0.361106514,1.026438794,1.182865412,0.326419058,-0.061182582,5768,0,6346.612793,-578.612793,578.612793
-0.525406859,0.165909339,0.717096075,-0.505550967,0.929192476,0.698062728,-0.781992742,1.344668179,6476,0,5997.888672,478.1113281,478.1113281
-0.039245199,-1.553934681,1.740739174,1.661115831,0.142381361,0.474307643,1.003781825,1.344668179,4980,0,5221.26416,-241.2641602,241.2641602
