\\Hourly Nodal Prices Report,,,,,,,,,,,,,,,,
\\Created at 2020-02-28 08:01:10,,,,,,,,,,,,,,,,
\\For 2020,,,,,,,,,,,,,,,,
Zones,,Reference,North West,North West,North West,North East,North East,North East,Ottawa,East,Toronto,Essa,Bruce,South West,Niagara,West
Date,Hour,Richview,Atikokan,Pineportage,Thunderbay,Andrews,Canyon,NPIroqfalls,TAOHSC,Saunders,Darlington,Desjoachims,BruceB,GerdauCam,BECK2,Greenfield
2020-01-18,13,15.94,13.45,6.65,13.74,14.76,15.48,15.19,15.94,15.79,15.94,15.79,15.48,15.94,15.63,15.94
2020-01-18,14,13.98,11.77,6.65,12.05,12.94,13.57,13.31,13.98,13.84,13.98,13.84,13.57,13.98,13.70,13.98
2020-01-18,15,13.60,11.45,6.65,11.72,12.59,13.20,12.95,13.60,13.46,13.60,13.46,13.20,13.60,13.33,13.60
2020-01-18,16,13.62,11.47,6.65,11.74,12.61,13.22,12.97,13.62,13.48,13.62,13.48,13.22,13.62,13.35,13.62
2020-01-18,17,14.65,12.32,6.38,12.63,13.57,14.22,13.96,14.65,14.51,14.65,14.51,14.22,14.65,14.37,14.65
2020-01-18,18,27.26,22.96,6.65,23.50,25.24,26.47,25.96,27.26,26.99,27.26,26.99,26.47,27.26,26.73,27.26
2020-01-18,19,21.88,18.49,6.65,18.86,20.26,21.24,20.84,21.88,21.66,21.88,21.66,21.24,21.88,21.45,21.88
2020-01-18,20,17.15,14.47,6.65,14.78,15.88,16.65,16.34,17.15,16.98,17.15,16.98,16.65,17.15,16.81,17.15
2020-01-18,21,14.87,12.49,12.19,12.82,13.77,14.43,14.16,14.87,14.72,14.87,14.72,14.43,14.87,14.57,14.87
2020-01-18,22,14.64,12.30,12.00,12.62,13.56,14.21,13.94,14.64,14.50,14.64,14.50,14.21,14.64,14.35,14.64
2020-01-18,23,14.25,11.97,11.68,12.28,13.19,13.83,13.57,14.25,14.11,14.25,14.11,13.83,14.25,13.97,14.25
2020-01-18,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-19,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-19,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-19,3,0.49,0.41,0.40,0.43,0.46,0.48,0.47,0.49,0.49,0.49,0.49,0.48,0.49,0.48,0.49
2020-01-19,4,0.49,0.41,0.40,0.43,0.46,0.48,0.47,0.49,0.49,0.49,0.49,0.48,0.49,0.48,0.49
2020-01-19,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-19,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-19,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-19,8,0.49,0.41,0.40,0.43,0.46,0.48,0.47,0.49,0.49,0.49,0.49,0.48,0.49,0.48,0.49
2020-01-19,9,8.72,7.33,5.64,7.52,8.08,8.47,8.31,8.72,8.64,8.72,8.64,8.47,8.72,8.55,8.72
2020-01-19,10,58.93,49.66,6.65,50.80,54.57,57.21,56.12,58.93,58.35,58.93,58.35,57.21,58.93,57.78,58.93
2020-01-19,11,13.62,11.46,7.02,11.74,12.60,13.22,12.97,13.62,13.48,13.62,13.48,13.22,13.62,13.35,13.62
2020-01-19,12,9.24,7.78,5.70,7.97,8.55,8.97,8.80,9.24,9.15,9.24,9.15,8.97,9.24,9.06,9.24
2020-01-19,13,13.64,11.46,6.65,11.76,12.63,13.24,12.99,13.64,13.50,13.64,13.50,13.24,13.64,13.37,13.64
2020-01-19,14,7.84,8.38,6.16,6.76,7.71,7.61,7.47,7.84,7.76,7.84,7.76,7.61,7.84,7.68,7.84
2020-01-19,15,0.00,28.54,32.75,0.00,7.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-01-19,16,1.49,2.66,2.84,1.29,1.75,1.45,1.42,1.49,1.48,1.49,1.48,1.45,1.49,1.46,1.49
2020-01-19,17,4.16,3.50,3.41,3.59,3.85,4.04,3.96,4.16,4.12,4.16,4.12,4.04,4.16,4.08,4.16
