Year,Month,Day,Hour,Temperature,Dew Point,Relative Humidity,Wind Speed,Toronto,Scored Labels
2018,5,25,10,1.521510957,0.809940271,-1.767247675,1.236525813,0.861516612,0.82697773
2013,9,10,23,1.539192105,1.630375582,0.080105325,0.695813982,0.756548407,0.781532288
2018,11,27,1,-0.564864586,-0.168988226,1.373252424,0.695813982,-0.973446445,-1.356821537
2016,11,8,16,0.531366631,0.548892671,-0.104629975,-0.061182582,0.509972151,0.084227085
2017,4,22,23,-0.228922761,-0.495297725,-0.905149608,-0.926321512,-1.466598955,-1.236757755
2015,4,18,21,0.08049734,-0.448682082,-1.520933941,0.479529249,-0.808072008,-0.461704731
2015,6,2,11,0.602091226,0.539569543,-0.350943708,0.15510215,0.371334899,-0.027675152
2013,10,26,1,-0.290806782,-0.383420183,-0.412522142,0.479529249,-1.433920175,-1.453160286
2017,12,3,8,-0.785878944,-0.33680454,1.619566158,-1.25074861,-1.153674872,0.086389065
2018,8,24,13,1.601076126,1.164219155,-1.213041775,-0.277467314,1.594313515,1.6500597
2018,9,28,3,0.204265381,0.604831443,1.250095558,-1.791460441,-1.655739778,-1.738752365
2020,2,8,20,-1.484284317,-1.399641193,0.203262191,-1.034463878,0.554534125,0.753060818
2017,6,12,9,1.751365889,1.378651111,-1.089884908,1.128383446,1.908227864,1.632182598
2018,4,27,10,0.239627678,-0.001171912,-0.843571175,-0.926321512,-0.047547655,-0.26493454
2015,2,21,14,-1.501965465,-1.23182488,1.003781825,-1.467033343,0.874390071,1.200174332
2019,8,15,3,0.655134672,0.539569543,-0.474100575,0.046959784,-1.377475008,-1.560275555
2015,9,29,1,0.938033051,1.369327983,1.250095558,-0.926321512,-1.207149241,-1.082942963
2019,3,19,21,-0.653270329,-0.672437167,-0.166208408,-0.926321512,-0.022791003,-0.078613758
2016,4,13,21,-0.582545735,-0.868222867,-0.966728041,-1.358890977,-0.051508719,-0.186838627
2013,8,4,6,0.522526057,0.856555913,0.942203391,0.046959784,-1.698321219,-0.576536179
2017,1,27,21,-0.830081816,-0.737699067,0.203262191,1.128383446,0.423819002,0.471114159
2017,12,29,3,-2.094283946,-2.108198962,-0.104629975,-1.034463878,-0.900166754,-0.832454681
2019,4,20,8,-0.317328505,0.073413116,1.311673991,0.15510215,-0.832828661,-0.158904552
2017,1,19,2,-0.529502289,-0.159665098,1.250095558,-0.385609681,-1.082375714,-1.298047543
2018,6,1,18,1.353540044,1.313389212,-0.289365275,1.452810545,1.732950767,0.788461685
